"Louisiana Board of Regents",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Emporia State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Morehead State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"State University of NY Potsdam",44.668661,-74.978217,1,street_center,,"State St",,,Potsdam,NY,"St. Lawrence County",13676,US,"TIGER/Line® dataset from the US Census Bureau"
"ST. Mary's College of Maryland",38.18707,-76.4344,0.67,place,,,,,"Saint Marys City",MD,"St. Mary's County",20686,US,"TIGER/Line® dataset from the US Census Bureau"
"Clark County Education Association",44.891983,-97.832972,1,place,,,,,Clark,SD,"Clark County",57225,US,"TIGER/Line® dataset from the US Census Bureau"
"BIA Central",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"BIA Central",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisiana Board of Regents",0,0,0,,,,,,,,,,,
"College of William and Mary",37.66842,-83.536297,0.9,place,,,,,Mary,KY,"Wolfe County",41301,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College and State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College and State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois College",0,0,0,,,,,,,,,,,
"Illinois College",0,0,0,,,,,,,,,,,
"Illinois College",0,0,0,,,,,,,,,,,
"University of Kentucky",0,0,0,,,,,,,,,,,
"Shorter University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Shorter University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Emporia State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Bonaventure University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Northampton CPS",40.88871,-72.689542,0.8,place,,,,,Northampton,NY,"Suffolk County",11901,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"California University of PA",40.046955,-79.894985,1,place,,,,,California,PA,"Washington County",15419,US,"TIGER/Line® dataset from the US Census Bureau"
"Murrieta Valley Unified School",48.124594,-117.762554,1,place,,,,,Valley,WA,"Stevens County",99181,US,"TIGER/Line® dataset from the US Census Bureau"
"California University of PA",40.046955,-79.894985,1,place,,,,,California,PA,"Washington County",15419,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Kentucky",0,0,0,,,,,,,,,,,
"Pierce College",42.224218,-97.581551,1,place,,,,,Pierce,NE,"Pierce County",68767,US,"TIGER/Line® dataset from the US Census Bureau"
"Southern Connecticut State University",0,0,0,,,,,,,,,,,
"Rowan University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois State University Board of Trustees",0,0,0,,,,,,,,,,,
"Teach for America-Kansas City",0,0,0,,,,,,,,,,,
"St. Mary's College of Maryland",38.18707,-76.4344,0.67,place,,,,,"Saint Marys City",MD,"St. Mary's County",20686,US,"TIGER/Line® dataset from the US Census Bureau"
"Armstrong State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Detroit Mercy Libraries",42.31296,-83.374549,1,street_center,,University,,,Westland,MI,"Wayne County",48185,US,"TIGER/Line® dataset from the US Census Bureau"
"Armstrong State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Armstrong State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Alabama Birmingham In-Service  Ctr",0,0,0,,,,,,,,,,,
"Tuscaloosa City Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Cumberland",39.580691,-78.690593,1,place,,,,,Cumberland,MD,"Allegany County",21501,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenville College",35.580444,-77.392609,1,place,,,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"New York University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Farleigh Dickinson University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of NC at Greensboro",36.074859,-79.777559,1,street_center,,"University Cir",,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Miami University-Oxford",33.614271,-85.834965,1,place,,,,,Oxford,AL,"Calhoun County",36203,US,"TIGER/Line® dataset from the US Census Bureau"
"Orange County Department of Education",33.640302,-117.769442,1,place,,,,,Orange,CA,"Orange County",92856,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"Morehead State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Christina School District",47.381924,-109.324067,0.9,place,,,,,Christina,MT,"Fergus County",59423,US,"TIGER/Line® dataset from the US Census Bureau"
"Fayetteville State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Kennesaw State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Mill School District",35.050243,-80.990828,1,place,,,,,"Fort Mill",SC,"York County",29708,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Andrew's School",0,0,0,,,,,,,,,,,
"Western Governors University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"California State University",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Hawaii State Teachers Association",0,0,0,,,,,,,,,,,
"Billings Senior High School",33.612327,-95.747185,0.8,place,,,,,High,TX,"Lamar County",75421,US,"TIGER/Line® dataset from the US Census Bureau"
"Portland State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"College of William and Mary",37.66842,-83.536297,0.9,place,,,,,Mary,KY,"Wolfe County",41301,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Mississippi",34.365411,-89.53718,1,place,,,,,University,MS,"Lafayette County",38677,US,"TIGER/Line® dataset from the US Census Bureau"
"Mississippi State University",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"East Stroudsburg University & Colonial IU",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Missouri-Kansas City",0,0,0,,,,,,,,,,,
"St. Thomas Aquinas College",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"Mississippi Dept of Education",32.686471,-89.656138,1,state,,,,,,MS,,,US,"US Census Bureau"
"Lamar CISD",28.139457,-97.005546,0.8,place,,,,,Lamar,TX,"Aransas County",78382,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Virginia",37.57557,-77.53823,0.22,place,,,,,"University Of Richmond",VA,"Richmond city",23173,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Pacific",47.26455,-122.25012,1,place,,,,,Pacific,WA,"King County",98047,US,"TIGER/Line® dataset from the US Census Bureau"
"South Australia DOE",37.329217,-86.364699,0.9,place,,,,,South,KY,"Grayson County",42754,US,"TIGER/Line® dataset from the US Census Bureau"
"Delta State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Emporia State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Walla Walla PS",46.1341,-118.291407,1,place,,,,,"Walla Walla",WA,"Walla Walla County",99362,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Durham Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Detroit Mercy Lib",42.31296,-83.374549,1,street_center,,University,,,Westland,MI,"Wayne County",48185,US,"TIGER/Line® dataset from the US Census Bureau"
"University of NC Charlotte",35.180557,-80.870862,1,street_center,,"University Dr",,,Charlotte,NC,"Mecklenburg County",28209,US,"TIGER/Line® dataset from the US Census Bureau"
"Northampton City Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois National Bd Resource Ctr",0,0,0,,,,,,,,,,,
"Dickinson State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Kentucky",0,0,0,,,,,,,,,,,
"Winthrop University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Teach for America Kansas City",0,0,0,,,,,,,,,,,
"Central Connecticut University",0,0,0,,,,,,,,,,,
"University of Holy Cross (LA)",42.539813,-90.90914,1,place,,,,,"Holy Cross",IA,"Dubuque County",52053,US,"TIGER/Line® dataset from the US Census Bureau"
"Northwestern State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Region 4 Education Service Ctr",43.971713,-120.622958,1,state,,,,,,OR,,,US,"US Census Bureau"
"East Tennessee State University",0,0,0,,,,,,,,,,,
"UAB Regional In Service Center",40.531266,-86.169537,0.8,place,,,,,Center,IN,"Howard County",46901,US,"TIGER/Line® dataset from the US Census Bureau"
"Morehead State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Gwinnett College",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenville College",35.580444,-77.392609,1,place,,,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisiana State University Shreveport",32.506576,-93.746508,1,street_center,,"Louisiana Ave",,,Shreveport,LA,"Caddo Parish",71101,US,"TIGER/Line® dataset from the US Census Bureau"
"El Rancho Unified School District",36.024269,-106.066584,0.8,place,,,,,"El Rancho",NM,"Santa Fe County",87533,US,"TIGER/Line® dataset from the US Census Bureau"
"Kansas State University",0,0,0,,,,,,,,,,,
"Lake Havasu USD",32.3432,-89.32868,1,place,,,,,Lake,MS,"Scott County",39092,US,"TIGER/Line® dataset from the US Census Bureau"
"Middle Tennessee State University",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"John P. Ellbogen Foundation",0,0,0,,,,,,,,,,,
"Pinecrest Academy of Nevada",0,0,0,,,,,,,,,,,
"Campbell University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Fayetteville State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Billings Senior High School",33.612327,-95.747185,0.8,place,,,,,High,TX,"Lamar County",75421,US,"TIGER/Line® dataset from the US Census Bureau"
"University of NC Wilmington",34.228209,-77.88113,1,street_center,,"University Dr",,,Wilmington,NC,"New Hanover County",28403,US,"TIGER/Line® dataset from the US Census Bureau"
"Pierce College",42.224218,-97.581551,1,place,,,,,Pierce,NE,"Pierce County",68767,US,"TIGER/Line® dataset from the US Census Bureau"
"Portland State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Southern Mississippi ",34.365411,-89.53718,1,place,,,,,University,MS,"Lafayette County",38677,US,"TIGER/Line® dataset from the US Census Bureau"
"Kentucky EPSB",37.533684,-85.29298,1,state,,,,,,KY,,,US,"US Census Bureau"
"Murrieta Valley USD ",48.124594,-117.762554,1,place,,,,,Valley,WA,"Stevens County",99181,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Louisiana at Monroe",32.539067,-92.071902,1,street_center,,"University Pl",,,Monroe,LA,"Ouachita Parish",71203,US,"TIGER/Line® dataset from the US Census Bureau"
"College of William and Mary",37.66842,-83.536297,0.9,place,,,,,Mary,KY,"Wolfe County",41301,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Phoenix Inc.",33.703967,-112.351835,1,place,,,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina Gen Admin",0,0,0,,,,,,,,,,,
"Southern University at New Orleans",29.963254,-90.210745,1,street_center,,"Southern Rd",,,"New Orleans",LA,"Jefferson Parish",70123,US,"TIGER/Line® dataset from the US Census Bureau"
"Maricopa CC District Rio Salado College",35.691868,-91.598917,1,place,,,,,Salado,AR,"Independence County",72575,US,"TIGER/Line® dataset from the US Census Bureau"
"Arlington Public Schools",0,0,0,,,,,,,,,,,
"Alcorn State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisiana Tech University ",0,0,0,,,,,,,,,,,
"Austin Peay State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Orange County Superintendent of Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"East Stroudsburg University & Colonial IU",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"New York University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Milligan College",36.30011,-82.29403,1,place,,,,,"Milligan College",TN,"Carter County",37682,US,"TIGER/Line® dataset from the US Census Bureau"
"Mulligan College",36.30011,-82.29403,1,place,,,,,"Milligan College",TN,"Carter County",37682,US,"TIGER/Line® dataset from the US Census Bureau"
"Dr.Suzanne Jacquez Gorman",32.221688,-98.719352,1,place,,,,,Gorman,TX,"Eastland County",76454,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Portland",45.507856,-122.690794,1,place,,,,,Portland,OR,"Multnomah County",97201,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"Utah Valley University",0,0,0,,,,,,,,,,,
"Board of Trustees University of Alabama",0,0,0,,,,,,,,,,,
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Alabama A&M University-College of Education",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Thomas Aquinas",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Virginia",37.57557,-77.53823,0.22,place,,,,,"University Of Richmond",VA,"Richmond city",23173,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina State University",0,0,0,,,,,,,,,,,
"Northampton County Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Washington County Schools",45.521516,-122.984856,0.9,street_center,,"SE Washington St",,,Hillsboro,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Emporia University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Four Corners Coalition ",44.119155,-104.133391,1,place,,,,,"Four Corners",WY,"Weston County",82715,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenville College",35.580444,-77.392609,1,place,,,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"Columbus State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"NM NBCT Network",34.434684,-106.131618,1,state,,,,,,NM,,,US,"US Census Bureau"
"Floyd County Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Union University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"NM NT3 Santa Fe",35.697473,-105.982146,1,place,,,,,"Santa Fe",NM,"Santa Fe County",87501,US,"TIGER/Line® dataset from the US Census Bureau"
"San Jose State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"NM Northern Coalition",0,0,0,,,,,,,,,,,
"Albertus Magnus College",35.7005,-91.48084,1,place,,,,,Magness,AR,"Independence County",72553,US,"TIGER/Line® dataset from the US Census Bureau"
"University of West Alabama",0,0,0,,,,,,,,,,,
"Birmingham Southern College",33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"New York University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Missouri Kansas City",0,0,0,,,,,,,,,,,
"Kennesaw State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Kentucky - TRREE Project",37.910078,-84.694667,0.18,place,,,,,Troy,KY,"Woodford County",40383,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina Wilmington",34.228209,-77.88113,1,street_center,,"University Dr",,,Wilmington,NC,"New Hanover County",28403,US,"TIGER/Line® dataset from the US Census Bureau"
"Homewood City Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Pitt County School/DEEL",40.250861,-74.004581,0.67,place,,,,,Deal,NJ,"Monmouth County",07723,US,"TIGER/Line® dataset from the US Census Bureau"
SDCOE,0,0,0,,,,,,,,,,,
"Clark County Education Association",44.891983,-97.832972,1,place,,,,,Clark,SD,"Clark County",57225,US,"TIGER/Line® dataset from the US Census Bureau"
"Department of Defense Education Activity",42.54364,-71.61479,0.7,place,,,,,Devens,MA,"Worcester County",01434,US,"TIGER/Line® dataset from the US Census Bureau"
"Taos Municipal School District",39.577496,-94.834963,0.8,place,,,,,Taos,MO,"Buchanan County",64448,US,"TIGER/Line® dataset from the US Census Bureau"
"Pierce College",42.224218,-97.581551,1,place,,,,,Pierce,NE,"Pierce County",68767,US,"TIGER/Line® dataset from the US Census Bureau"
"Fayetteville State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina at Greensboro",36.074859,-79.777559,1,street_center,,"University Cir",,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Campbell University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"American University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Indiana University Libraries",39.622129,-87.454769,0.67,place,,,,,Universal,IN,"Vermillion County",47884,US,"TIGER/Line® dataset from the US Census Bureau"
"College of William and Mary",37.66842,-83.536297,0.9,place,,,,,Mary,KY,"Wolfe County",41301,US,"TIGER/Line® dataset from the US Census Bureau"
