"Louisiana Board of Regents",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"University of Southern Mississippi",34.365411,-89.53718,1,place,,,,,University,MS,"Lafayette County",38677,US,"TIGER/Line® dataset from the US Census Bureau"
"Virginia Commonwealth University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"George Gwinnett College",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Pacific",47.26455,-122.25012,1,place,,,,,Pacific,WA,"King County",98047,US,"TIGER/Line® dataset from the US Census Bureau"
"Portland State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
CERRA,36.75391,-105.61278,1,place,,,,,Cerro,NM,"Taos County",87519,US,"TIGER/Line® dataset from the US Census Bureau"
"CERRA SCNBN",36.75391,-105.61278,1,place,,,,,Cerro,NM,"Taos County",87519,US,"TIGER/Line® dataset from the US Census Bureau"
"East Stroudsburg University & Colonial IU",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Orange County Department of Education",33.640302,-117.769442,1,place,,,,,Orange,CA,"Orange County",92856,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California, Riverside",33.657531,-117.812668,1,street_center,,"University Dr",,,Irvine,CA,"Orange County",92612,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College & State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Albuquerque Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina State University",0,0,0,,,,,,,,,,,
"Young Harris College/Miller Library",40.303119,-79.997567,1,place,,,,,Library,PA,"Allegheny County",15129,US,"TIGER/Line® dataset from the US Census Bureau"
"SCALE/Graduate School of Education edTPA",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Kansas State University",0,0,0,,,,,,,,,,,
"NC New Teacher Support Program-East Carolina University",0,0,0,,,,,,,,,,,
"St. Thomas Aquinas College",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois College",0,0,0,,,,,,,,,,,
"Austin Peay State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College & State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"American College of Education",0,0,0,,,,,,,,,,,
"SCALE/Graduate School of Education edTPA",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"Cleveland County Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"UAB Regional In Service Centers",39.07977,-86.513329,0.8,place,,,,,Sanders,IN,"Monroe County",47401,US,"TIGER/Line® dataset from the US Census Bureau"
"Charleston Southern University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Southern New Hampshire University",0,0,0,,,,,,,,,,,
"Governors State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southwestern State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Union University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Emporia State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southern University",0,0,0,,,,,,,,,,,
"University of Central Arkansas",34.12708,-93.056583,1,street_center,,"University Dr",,,Arkadelphia,AR,"Clark County",71923,US,"TIGER/Line® dataset from the US Census Bureau"
"Radford University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Northampton County Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Tennessee of Tennessee Martin",36.34318,-88.858988,1,street_center,,"University Ct",,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenville College",35.580444,-77.392609,1,place,,,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"Southeast/South-Central Educational Cooperative",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Kennesaw State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southern University",0,0,0,,,,,,,,,,,
"San Jose State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Georgia",0,0,0,,,,,,,,,,,
"VA NBCT Network",37.522251,-78.668194,1,state,,,,,,VA,,,US,"US Census Bureau"
"Bainbridge Island School District",47.647774,-122.538016,1,place,,,,,"Bainbridge Island",WA,"Kitsap County",98110,US,"TIGER/Line® dataset from the US Census Bureau"
"Southern Connecticut State University",0,0,0,,,,,,,,,,,
"John Hopkins University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"New York University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Birmingham-Southern College",33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"Brenau University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Stanford University/SCALE",36.905612,-88.35976,0.8,place,,,,,Scale,KY,"Marshall County",42025,US,"TIGER/Line® dataset from the US Census Bureau"
"Northwestern State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Western Governors University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Sam Houston State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina Wilmington",34.228209,-77.88113,1,street_center,,"University Dr",,,Wilmington,NC,"New Hanover County",28403,US,"TIGER/Line® dataset from the US Census Bureau"
"Fayetteville State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"American University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Indiana University Libraries",39.622129,-87.454769,0.67,place,,,,,Universal,IN,"Vermillion County",47884,US,"TIGER/Line® dataset from the US Census Bureau"
"Rowan College South Jersey",33.717989,-83.801451,1,place,,,,,Jersey,GA,"Walton County",30018,US,"TIGER/Line® dataset from the US Census Bureau"
"Monroe County School District",41.33065,-74.18681,1,place,,,,,Monroe,NY,"Orange County",10950,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina at Greensboro",36.074859,-79.777559,1,street_center,,"University Cir",,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Central Washington University",47.666487,-122.309849,0.9,place,,,,,University,WA,"King County",98105,US,"TIGER/Line® dataset from the US Census Bureau"
"NM NBCT Network",34.434684,-106.131618,1,state,,,,,,NM,,,US,"US Census Bureau"
"University of Southern Mississippi",34.365411,-89.53718,1,place,,,,,University,MS,"Lafayette County",38677,US,"TIGER/Line® dataset from the US Census Bureau"
"Lyndonville Central School District",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"TAOS Municipal School District",39.577496,-94.834963,0.8,place,,,,,Taos,MO,"Buchanan County",64448,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Pacific",47.26455,-122.25012,1,place,,,,,Pacific,WA,"King County",98047,US,"TIGER/Line® dataset from the US Census Bureau"
"Pierce College",42.224218,-97.581551,1,place,,,,,Pierce,NE,"Pierce County",68767,US,"TIGER/Line® dataset from the US Census Bureau"
"Kansas State University",0,0,0,,,,,,,,,,,
"NC New Teacher Support Program",0,0,0,,,,,,,,,,,
"East Stroudsburg University & Colonial IU",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"BloomBoard, Inc.",0,0,0,,,,,,,,,,,
"BloomBoard, Inc.",0,0,0,,,,,,,,,,,
"Western Governors University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
CERRA,36.75391,-105.61278,1,place,,,,,Cerro,NM,"Taos County",87519,US,"TIGER/Line® dataset from the US Census Bureau"
"Stanford University/SCALE",36.905612,-88.35976,0.8,place,,,,,Scale,KY,"Marshall County",42025,US,"TIGER/Line® dataset from the US Census Bureau"
"Pathway to Practice, NCSU",0,0,0,,,,,,,,,,,
"University of Tennessee at Martin",36.34318,-88.858988,1,street_center,,"University Ct",,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® dataset from the US Census Bureau"
"Young Harris College/Miller Library",40.303119,-79.997567,1,place,,,,,Library,PA,"Allegheny County",15129,US,"TIGER/Line® dataset from the US Census Bureau"
"Bowling Green Independent Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California, River",0,0,0,,,,,,,,,,,
"Southeast/South-Central Educational Cooperative",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Four Corners Coalition/Farmington High School",48.049258,-122.819336,0.8,place,,,,,"Four Corners",WA,"Jefferson County",98368,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Gwinnett College",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"NM NT3 Santa Fe Public Schools ",0,0,0,,,,,,,,,,,
"Orange County DOE",33.640302,-117.769442,1,place,,,,,Orange,CA,"Orange County",92856,US,"TIGER/Line® dataset from the US Census Bureau"
"Colorado Education Association",38.993867,-105.508319,1,state,,,,,,CO,,,US,"US Census Bureau"
"Southeast/South-Central Educational Cooperative",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Austin Peay State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Walla Walla Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College School of Education",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College and State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Milligan College",36.30011,-82.29403,1,place,,,,,"Milligan College",TN,"Carter County",37682,US,"TIGER/Line® dataset from the US Census Bureau"
"Stanford University/SCALE",36.905612,-88.35976,0.8,place,,,,,Scale,KY,"Marshall County",42025,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Thomas Aquinas College",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois College ",0,0,0,,,,,,,,,,,
"East Carolina University",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"Southeast South-Central Education Cooperative",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Richland Elementary School",46.28569,-119.28446,1,place,,,,,Richland,WA,"Benton County",99352,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Department of Defense Education Activity-Teaching and 
Learning Division ",36.432632,-80.917853,0.8,place,,,,,Devotion,NC,"Surry County",27017,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Tennessee at Martin",36.34318,-88.858988,1,street_center,,"University Ct",,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois National Board Resource Center",39.282538,-87.667527,0.53,place,,,,,Snyder,IL,"Clark County",62477,US,"TIGER/Line® dataset from the US Census Bureau"
"UNC Wilmington",0,0,0,,,,,,,,,,,
"Catawba College",34.859604,-80.938257,1,place,,,,,Catawba,SC,"York County",29704,US,"TIGER/Line® dataset from the US Census Bureau"
"Mercer University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Swarthmore College",39.897162,-75.344083,1,place,,,,,Swarthmore,PA,"Delaware County",19081,US,"TIGER/Line® dataset from the US Census Bureau"
"James Madison University College of Education ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Midland University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College ",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"Western Carolina University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"College of Coastal Georgia ",0,0,0,,,,,,,,,,,
KCTCS,0,0,0,,,,,,,,,,,
"East Tennessee State University ",0,0,0,,,,,,,,,,,
"George Mason University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Colgate University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of New Orleans",29.953701,-90.072803,1,street_center,,"University Pl",,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Arts",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Governors State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Augustana College ",0,0,0,,,,,,,,,,,
"Georgia Gwinnett College ",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"Kutztown University of Pennsylvania ",40.53907,-75.781445,1,place,,,,,Kutztown,PA,"Berks County",19530,US,"TIGER/Line® dataset from the US Census Bureau"
"State University of New York (SUNY)",0,0,0,,,,,,,,,,,
"Marietta College",33.912473,-84.557181,1,place,,,,,Marietta,GA,"Cobb County",30006,US,"TIGER/Line® dataset from the US Census Bureau"
"Purdue University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Guam",0,0,0,,,,,,,,,,,
"Tennessee Wesleyan University",0,0,0,,,,,,,,,,,
"Cumberland University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Montclair State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"SUNY College of Oneonta",33.94815,-86.47276,1,place,,,,,Oneonta,AL,"Blount County",35121,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California, Davis ",38.544956,-121.746159,1,street_center,,"University Ave",,,Davis,CA,"Yolo County",95616,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Hawaii at Manoa",21.970965,-159.714507,0.18,place,,,,,Mana,HI,"Kauai County",96752,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University ",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"Murray State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Marietta College",33.912473,-84.557181,1,place,,,,,Marietta,GA,"Cobb County",30006,US,"TIGER/Line® dataset from the US Census Bureau"
"Millersville University of Pennsylvania ",39.99788,-76.35413,1,place,,,,,Millersville,PA,"Lancaster County",17551,US,"TIGER/Line® dataset from the US Census Bureau"
"Teachers College, Columbia University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"SUNY College at Brockport",43.223303,-77.917335,1,place,,,,,Brockport,NY,"Monroe County",14420,US,"TIGER/Line® dataset from the US Census Bureau"
"Montclair State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of West Alabama",0,0,0,,,,,,,,,,,
"University of Tennessee at Martin",36.34318,-88.858988,1,street_center,,"University Ct",,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® dataset from the US Census Bureau"
"Southern Adventist University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Manhattanville College",0,0,0,,,,,,,,,,,
"Seattle University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southern University",0,0,0,,,,,,,,,,,
"Concordia University Chicago",41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Syracuse University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Spelman College",39.537043,-77.763883,0.8,place,,,,,Spielman,MD,"Washington County",21733,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Alabama",0,0,0,,,,,,,,,,,
"Swarthmore College",39.897162,-75.344083,1,place,,,,,Swarthmore,PA,"Delaware County",19081,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Georgia",0,0,0,,,,,,,,,,,
"University of North Georgia ",0,0,0,,,,,,,,,,,
"Felician University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of NC Greensboro",36.074859,-79.777559,1,street_center,,"University Cir",,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"NEA Vermont",0,0,0,,,,,,,,,,,
"CTU Foundation, Inc",0,0,0,,,,,,,,,,,
"National Louis University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"KYDOE-Educator Recruitment and Development",0,0,0,,,,,,,,,,,
"Chapman University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Troy University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"City University of New York ",40.83739,-73.92343,0.6,place,,,,,"University Heights",NY,"Bronx County",10452,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Wisconsin Stevens Point",44.510664,-89.638254,1,place,,,,,"Stevens Point",WI,"Portage County",54481,US,"TIGER/Line® dataset from the US Census Bureau"
"SUNY Erie Community College ",42.074129,-80.072888,1,street_center,,"Sun Ct",,,Erie,PA,"Erie County",16509,US,"TIGER/Line® dataset from the US Census Bureau"
"Central Washington University ",47.666487,-122.309849,0.9,place,,,,,University,WA,"King County",98105,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Richmond",37.57557,-77.53823,1,place,,,,,"University Of Richmond",VA,"Richmond city",23173,US,"TIGER/Line® dataset from the US Census Bureau"
